Group,Title
1. Cereals,Cereals
1. Cereals,Wheat
1. Cereals,Maize
1. Cereals,Rice
1. Cereals,Sorghum
1. Cereals,Barley
1. Cereals,Rye
1. Cereals,Oats
1. Cereals,Millets
1. Cereals,"Other cereals, n.e.c."
1. Cereals,Mixed cereals
1. Cereals,Other
2. Pulses (grain legumes),Vegetables and melons
2. Pulses (grain legumes),Leafy or stem vegetables
2. Pulses (grain legumes),Artichokes
2. Pulses (grain legumes),Asparagus
2. Pulses (grain legumes),Cabbages
2. Pulses (grain legumes),Cauliflowers & broccoli
2. Pulses (grain legumes),Lettuce
2. Pulses (grain legumes),Spinach
2. Pulses (grain legumes),Chicory
2. Pulses (grain legumes),"Other leafy or stem vegetables, n.e.c."
2. Pulses (grain legumes),Fruit-bearing vegetables
2. Pulses (grain legumes),Cucumbers
2. Pulses (grain legumes),Eggplants (aubergines)
2. Pulses (grain legumes),Tomatoes
2. Pulses (grain legumes),Watermelons
2. Pulses (grain legumes),Cantaloupes and other melons
2. Pulses (grain legumes),"Pumpkin, squash and gourds"
2. Pulses (grain legumes),"Other fruit-bearing vegetables, n.e.c."
2. Pulses (grain legumes),"Root, bulb, or tuberous vegetables"
2. Pulses (grain legumes),Carrots
2. Pulses (grain legumes),Turnips
2. Pulses (grain legumes),Garlic
2. Pulses (grain legumes),Onions (incl. shallots)
2. Pulses (grain legumes),Leeks & other alliaceous vegetables
2. Pulses (grain legumes),"Other root, bulb, or tuberous vegetables, n.e.c."
2. Pulses (grain legumes),Mushrooms and truffles
2. Pulses (grain legumes),"Vegetables, n.e.c."
3. Roots and tubers,Fruit and nuts
3. Roots and tubers,Tropical and subtropical fruits
3. Roots and tubers,Avocados
3. Roots and tubers,Bananas & plantains
3. Roots and tubers,Dates
3. Roots and tubers,Figs
3. Roots and tubers,Mangoes
3. Roots and tubers,Papayas
3. Roots and tubers,Pineapples
3. Roots and tubers,"Other tropical and subtropical fruits, n.e.c."
3. Roots and tubers,Citrus fruits
3. Roots and tubers,Grapefruit & pomelo
3. Roots and tubers,Lemons and Limes
3. Roots and tubers,Oranges
3. Roots and tubers,"Tangerines, mandarins, clementines"
3. Roots and tubers,"Other citrus fruit, n.e.c."
3. Roots and tubers,Grapes
3. Roots and tubers,Berries
3. Roots and tubers,Currants
3. Roots and tubers,Gooseberries
3. Roots and tubers,Kiwi fruit
3. Roots and tubers,Raspberries
3. Roots and tubers,Strawberries
3. Roots and tubers,Blueberries
3. Roots and tubers,Other berries
3. Roots and tubers,Pome fruits and stone fruits
3. Roots and tubers,Apples
3. Roots and tubers,Apricots
3. Roots and tubers,Cherries & sour cherries
3. Roots and tubers,Peaches & nectarines
3. Roots and tubers,Pears & quinces
3. Roots and tubers,Plums and sloes
3. Roots and tubers,"Other pome fruits and stone fruits, n.e.c."
3. Roots and tubers,Nuts
3. Roots and tubers,Almonds
3. Roots and tubers,Cashew nuts
3. Roots and tubers,Chestnuts
3. Roots and tubers,Hazelnuts
3. Roots and tubers,Pistachios
3. Roots and tubers,Walnuts
3. Roots and tubers,Other nuts n.e.c.
3. Roots and tubers,"Other fruits, n.e.c."
4. Oilseed crops,Oilseed crops
4. Oilseed crops,Soya beans
4. Oilseed crops,Groundnuts
4. Oilseed crops,Other temporary oilseed crops
4. Oilseed crops,Castor bean
4. Oilseed crops,Linseed
4. Oilseed crops,Mustard
4. Oilseed crops,Niger seed
4. Oilseed crops,Rapeseed
4. Oilseed crops,Safflower
4. Oilseed crops,Sesame
4. Oilseed crops,Sunflower
4. Oilseed crops,"Other temporary oilseed crops, n.e.c."
4. Oilseed crops,Permanent oilseed crops
4. Oilseed crops,Coconuts
4. Oilseed crops,Olives
4. Oilseed crops,Oil palms
4. Oilseed crops,"Other oleaginous fruits, n.e.c."
5. Sugar crops,Root/tuber crops with high starch or inulin content
5. Sugar crops,Potatoes
5. Sugar crops,Sweet potatoes
5. Sugar crops,Cassava
5. Sugar crops,Yams
5. Sugar crops,"Other roots & tubers, n.e.c."
6. Vegetables and melons,Beverage and spice crops
6. Vegetables and melons,Beverage crops
6. Vegetables and melons,Coffee
6. Vegetables and melons,Tea
6. Vegetables and melons,Maté
6. Vegetables and melons,Cocoa
6. Vegetables and melons,"Other beverage crops, n.e.c."
6. Vegetables and melons,Spice crops
6. Vegetables and melons,Temporary spice crops
6. Vegetables and melons,Chilies & peppers (capsicum spp.)
