Realm,Biome,Functional Group Name
Freshwater,F1 Rivers and streams,F1.1 Permanent upland streams
Freshwater,F1 Rivers and streams,F1.2 Permanent lowland rivers
Freshwater,F1 Rivers and streams,F1.3 Freeze-thaw rivers and streams
Freshwater,F1 Rivers and streams,F1.4 Seasonal upland streams
Freshwater,F1 Rivers and streams,F1.5 Seasonal lowland rivers
Freshwater,F1 Rivers and streams,F1.6 Episodic arid rivers
Freshwater,F1 Rivers and streams,F1.7 Large lowland rivers
Freshwater,F2 Lakes,F2.1 Large permanent freshwater lakes
Freshwater,F2 Lakes,F2.10 Subglacial lakes
Freshwater,F2 Lakes,F2.2 Small permanent freshwater lakes
Freshwater,F2 Lakes,F2.3 Seasonal freshwater lakes
Freshwater,F2 Lakes,F2.4 Freeze-thaw freshwater lakes
Freshwater,F2 Lakes,F2.5 Ephemeral freshwater lakes
Freshwater,F2 Lakes,F2.6 Permanent salt and soda lakes
Freshwater,F2 Lakes,F2.7 Ephemeral salt lakes
Freshwater,F2 Lakes,F2.8 Artesian springs and oases
Freshwater,F2 Lakes,F2.9 Geothermal pools and wetlands
Freshwater,F3 Artificial wetlands,F3.1 Large reservoirs
Freshwater,F3 Artificial wetlands,F3.2 Constructed lacustrine wetlands
Freshwater,F3 Artificial wetlands,F3.3 Rice paddies
Freshwater,F3 Artificial wetlands,F3.4 Freshwater aquafarms
Freshwater,F3 Artificial wetlands,"F3.5 Canals, ditches and drains"
Freshwater-Marine,FM1 Semi-confined transitional waters,FM1.1 Deepwater coastal inlets
Freshwater-Marine,FM1 Semi-confined transitional waters,FM1.2 Permanently open riverine estuaries and bays
Freshwater-Marine,FM1 Semi-confined transitional waters,FM1.3 Intermittently closed and open lakes and lagoons
Marine,M1 Marine shelf,M1.1 Seagrass meadows
Marine,M1 Marine shelf,M1.10 Rhodolith/Maërl beds
Marine,M1 Marine shelf,M1.2 Kelp forests
Marine,M1 Marine shelf,M1.3 Photic coral reefs
Marine,M1 Marine shelf,M1.4 Shellfish beds and reefs
Marine,M1 Marine shelf,M1.5 Photo-limited marine animal forests
Marine,M1 Marine shelf,M1.6 Subtidal rocky reefs
Marine,M1 Marine shelf,M1.7 Subtidal sand beds
Marine,M1 Marine shelf,M1.8 Subtidal mud plains
Marine,M1 Marine shelf,M1.9 Upwelling zones
Marine,M2 Pelagic ocean waters,M2.1 Epipelagic ocean waters
Marine,M2 Pelagic ocean waters,M2.2 Mesopelagic ocean water
Marine,M2 Pelagic ocean waters,M2.3 Bathypelagic ocean waters
Marine,M2 Pelagic ocean waters,M2.4 Abyssopelagic ocean waters
Marine,M2 Pelagic ocean waters,M2.5 Sea ice
Marine,M3 Deep sea floors,M3.1 Continental and island slopes
Marine,M3 Deep sea floors,M3.2 Submarine canyons
Marine,M3 Deep sea floors,M3.3 Abyssal plains
Marine,M3 Deep sea floors,"M3.4 Seamounts, ridges and plateaus"
Marine,M3 Deep sea floors,M3.5 Deepwater biogenic beds
Marine,M3 Deep sea floors,M3.6 Hadal trenches and troughs
Marine,M3 Deep sea floors,M3.7 Chemosynthetic-based-ecosystems (CBE)
Marine,M4 Anthropogenic marine,M4.1 Submerged artificial structures
Marine,M4 Anthropogenic marine,M4.2 Marine aquafarms
Marine-Freshwater-Terrestrial,MFT1 Brackish tidal,MFT1.1 Coastal river deltas
Marine-Freshwater-Terrestrial,MFT1 Brackish tidal,MFT1.2 Intertidal forests and shrublands
Marine-Freshwater-Terrestrial,MFT1 Brackish tidal,MFT1.3 Coastal saltmarshes and reedbeds
Marine-Terrestrial,MT1 Shorelines,MT1.1 Rocky Shorelines
Marine-Terrestrial,MT1 Shorelines,MT1.2 Muddy Shorelines
Marine-Terrestrial,MT1 Shorelines,MT1.3 Sandy Shorelines
Marine-Terrestrial,MT1 Shorelines,MT1.4 Boulder and cobble shores
Marine-Terrestrial,MT2 Supralittoral coastal,MT2.1 Coastal shrublands and grasslands
