Group,Class,Subclass,Order,Title,"Crop Type (1=Temporary, 2=Permanent)"
1,,,,Cereals,
1,11,,,Wheat,1
1,12,,,Maize,1
1,13,,,Rice,1
1,14,,,Sorghum,1
1,15,,,Barley,1
1,16,,,Rye,1
1,17,,,Oats,1
1,18,,,Millets,1
1,19,,,"Other cereals, n.e.c.",
1,19,191,,Mixed cereals,1
1,19,192,,Other,1
2,,,,Vegetables and melons,
2,21,,,Leafy or stem vegetables,
2,21,211,,Artichokes,1
2,21,212,,Asparagus,1
2,21,213,,Cabbages,1
2,21,214,,Cauliflowers & broccoli,1
2,21,215,,Lettuce,1
2,21,216,,Spinach,1
2,21,217,,Chicory,1
2,21,219,,"Other leafy or stem vegetables, n.e.c.",1
2,22,,,Fruit-bearing vegetables,
2,22,221,,Cucumbers,1
2,22,222,,Eggplants (aubergines),1
2,22,223,,Tomatoes,1
2,22,224,,Watermelons,1
2,22,225,,Cantaloupes and other melons,1
2,22,226,,"Pumpkin, squash and gourds",1
2,22,229,,"Other fruit-bearing vegetables, n.e.c.",1
2,23,,,"Root, bulb, or tuberous vegetables",
2,23,231,,Carrots,1
2,23,232,,Turnips,1
2,23,233,,Garlic,1
2,23,234,,Onions (incl. shallots),1
2,23,235,,Leeks & other alliaceous vegetables,
2,23,239,,"Other root, bulb, or tuberous vegetables, n.e.c.",1
2,24,,,Mushrooms and truffles,1
2,29,,,"Vegetables, n.e.c.",1
3,,,,Fruit and nuts,
3,31,,,Tropical and subtropical fruits,
3,31,311,,Avocados,2
3,31,312,,Bananas & plantains,2
3,31,313,,Dates,2
3,31,314,,Figs,2
3,31,315,,Mangoes,2
3,31,316,,Papayas,2
3,31,317,,Pineapples,2
3,31,319,,"Other tropical and subtropical fruits, n.e.c.",2
3,32,,,Citrus fruits,
3,32,321,,Grapefruit & pomelo,2
3,32,322,,Lemons and Limes,2
3,32,323,,Oranges,2
3,32,324,,"Tangerines, mandarins, clementines",2
3,32,329,,"Other citrus fruit, n.e.c.",2
3,33,,,Grapes,2
3,34,,,Berries,
3,34,341,,Currants,2
3,34,342,,Gooseberries,2
3,34,343,,Kiwi fruit,2
3,34,344,,Raspberries,2
3,34,345,,Strawberries,2
3,34,346,,Blueberries,
3,34,349,,Other berries,2
3,35,,,Pome fruits and stone fruits,
3,35,351,,Apples,2
3,35,352,,Apricots,2
3,35,353,,Cherries & sour cherries,2
3,35,354,,Peaches & nectarines,2
3,35,355,,Pears & quinces,2
3,35,356,,Plums and sloes,2
3,35,359,,"Other pome fruits and stone fruits, n.e.c.",2
3,36,,,Nuts,
3,36,361,,Almonds,2
3,36,362,,Cashew nuts,2
3,36,363,,Chestnuts,2
3,36,364,,Hazelnuts,2
3,36,365,,Pistachios,2
3,36,366,,Walnuts,2
3,36,369,,Other nuts n.e.c.,2
3,39,,,"Other fruits, n.e.c.",2
4,,,,Oilseed crops,
4,41,,,Soya beans,1
4,42,,,Groundnuts,1
4,43,,,Other temporary oilseed crops,
4,43,431,,Castor bean,1
4,43,432,,Linseed,1
4,43,433,,Mustard,1
4,43,434,,Niger seed,1
4,43,435,,Rapeseed,1
4,43,436,,Safflower,1
4,43,437,,Sesame,1
4,43,438,,Sunflower,1
4,43,439,,"Other temporary oilseed crops, n.e.c.",1
4,44,,,Permanent oilseed crops,
4,44,441,,Coconuts,2
4,44,442,,Olives,2
4,44,443,,Oil palms,2
4,44,449,,"Other oleaginous fruits, n.e.c.",2
5,,,,Root/tuber crops with high starch or inulin content,
5,51,,,Potatoes,1
5,52,,,Sweet potatoes,1
5,53,,,Cassava,1
5,54,,,Yams,1
5,59,,,"Other roots & tubers, n.e.c.",1
6,,,,Beverage and spice crops,
6,61,,,Beverage crops,
6,61,611,,Coffee,2
6,61,612,,Tea,2
6,61,613,,Maté,2
6,61,614,,Cocoa,2
6,61,619,,"Other beverage crops, n.e.c.",2
6,62,,,Spice crops,
6,62,621,,Temporary spice crops,
6,62,621,6211,Chilies & peppers (capsicum spp.),1
6,62,621,6212,"Anise, badian, and fennel",1
6,62,621,6219,"Other temporary spice crops, n.e.c.",1
6,62,622,,Permanent spice crops,
6,62,622,6221,Pepper (piper spp.),2
6,62,622,6222,"Nutmeg, mace, cardamoms",2
6,62,622,6223,Cinnamon (canella),2
6,62,622,6224,Cloves,2
6,62,622,6225,Ginger,2
6,62,622,6226,Vanilla,2
6,62,622,6229,"Other permanent spice crops, n.e.c.",2
7,,,,Leguminous crops,
7,71,,,Beans,1
7,72,,,Broad beans,1
7,73,,,Chick peas,1
7,74,,,Cow peas,1
7,75,,,Lentils,1
7,76,,,Lupins,1
7,77,,,Peas,1
7,78,,,Pigeon peas,1
7,79,,,"Leguminous crops, n.e.c.",1
8,,,,Sugar crops,
8,81,,,Sugar beet,1
8,82,,,Sugar cane,1
8,83,,,Sweet sorghum,1
8,89,,,Other sugar crops n.e.c.,1
9,,,,Other crops,
9,91,,,Grasses and other fodder crops,
9,91,911,,Temporary grass crops,1
9,91,912,,Permanent grass crops,2
9,92,,,Fibre crops,
9,92,921,,Temporary fibre crops,
9,92,921,9211,Cotton,1
9,92,921,9212,"Jute, kenaf, and other similar crops",1
9,92,921,9213,"Flax, hemp, and other similar products",1
9,92,921,9219,Other temporary fibre crops,1
9,92,922,,Permanent fibre crops,2
9,93,,,"Medicinal, aromatic, pesticidal, or similar crops",
9,93,931,,"Temporary medicinal, etc. crops",1
9,93,932,,"Permanent medicinal, etc. crops",2
9,94,,,Rubber,2
9,95,,,Flower crops,
9,95,951,,Temporary flower crops,1
9,95,952,,Permanent flower crops,2
9,96,,,Tobacco,1
9,99,,,Other crops,
9,99,991,,Other crops – temporary,1
9,99,992,,Other crops – permanent,2
